Temperatura de Melting (Cº),Conteúdo GC (%)
79.936,51.19
86.354,52.82
87.435,56.27
86.302,53.15
85.304,53.87
84.308,48.91
86.268,52.97
85.564,51.68
86.153,53.91
85.639,52.73
85.102,50.98
83.710,48.89
85.706,51.38
87.042,55.08
83.410,50.95
85.516,51.33
83.842,47.56
81.508,41.00
79.154,36.55
80.010,39.14
77.783,32.28
82.108,46.59
86.306,53.50
87.573,55.73
85.757,53.33
86.476,55.33
87.008,55.21
87.161,55.63
85.989,52.92
86.374,53.44
87.650,55.87
77.220,35.62
82.481,45.96
86.670,55.16
86.381,53.94
85.342,50.64
85.999,52.46
86.523,53.81
85.841,51.88
85.629,52.14
87.307,55.94
87.003,54.86
86.511,56.94
86.410,53.38
86.427,54.80
87.519,55.82
85.144,51.44
82.738,48.72
82.056,45.71
87.250,55.95
84.837,51.85
86.089,53.16
87.421,56.16
86.557,53.77
85.736,51.34
85.943,52.82
81.387,41.83
86.320,54.09
87.280,55.01
87.471,55.57
86.684,54.89
87.372,55.62
88.372,57.97
86.021,52.90
86.542,54.38
87.529,56.94
88.767,58.97
86.100,52.95
81.718,43.16
87.236,55.21
85.522,52.31
87.370,55.67
86.932,54.85
86.360,53.12
78.475,47.13
83.157,45.82
86.239,52.75
84.134,49.39
77.532,44.83
86.881,54.83
85.249,52.29
86.871,54.88
84.258,50.55
86.614,53.65
87.654,56.32
86.978,54.75
86.207,53.09
87.153,55.20
86.167,52.85
87.389,55.99
86.950,54.61
85.547,51.68
86.254,53.55
85.929,52.26
86.710,54.25
85.347,51.20
86.304,54.58
86.109,52.18
83.479,48.37
83.703,52.02
85.279,51.34
85.684,52.66
85.314,50.96
85.888,52.20
86.696,54.04
85.614,53.29
86.308,53.58
86.128,53.99
85.654,52.05
86.067,52.52
86.971,55.42
86.474,53.08
87.053,54.68
86.071,52.49
86.745,53.94
87.543,55.70
84.870,52.07
83.147,46.04
85.320,51.21
83.848,50.16
86.783,54.16
87.326,55.21
84.583,50.28
84.739,50.23
84.573,49.30
85.150,50.97
83.941,49.21
84.693,49.27
85.110,52.49
84.271,48.61
86.546,54.23
86.447,54.09
82.327,43.60
83.409,47.21
82.681,45.38
84.153,49.18
84.759,48.90
84.034,48.35
82.949,46.06
84.407,50.10
87.418,55.79
86.431,53.83
85.203,52.19
84.429,49.36
86.813,55.74
87.961,56.75
87.216,54.91
85.853,51.65
87.548,56.77
86.702,54.55
89.293,60.11
87.298,55.58
86.750,54.15
84.367,51.01
85.979,53.37
85.774,52.43
85.828,52.79
84.152,47.76
86.617,53.82
86.101,52.76
81.830,44.44
86.061,53.09
86.509,53.16
84.694,49.81
85.276,51.38
84.717,49.77
85.897,52.89
84.871,50.90
86.061,52.63
84.606,49.67
85.291,51.21
85.379,50.85
85.405,50.51
84.371,50.00
86.112,52.92
84.573,50.66
86.195,53.49
86.481,53.70
87.275,56.62
87.287,54.95
86.075,52.92
85.569,50.98
84.854,51.79
88.526,58.56
82.620,47.89
83.218,50.75
86.231,54.68
86.029,54.50
85.648,52.32
84.471,49.21
86.958,54.51
86.547,54.52
85.633,53.58
84.235,48.65
85.513,52.14
85.710,51.94
84.603,50.17
83.299,46.39
84.831,49.95
85.705,52.31
84.353,49.03
85.862,52.02
80.834,40.48
84.397,49.24
84.594,50.64
85.196,51.15
81.628,42.32
74.812,28.28
77.729,34.00
78.622,35.51
74.283,28.38
77.354,32.92
86.645,53.90
87.982,56.65
90.404,63.84
89.228,59.78
85.981,53.02
87.272,55.48
85.111,51.62
87.874,56.99
86.964,54.94
86.514,53.38
85.183,52.42
85.718,51.65
82.904,49.33
84.607,50.50
86.056,53.95
87.463,55.60
89.897,61.26
79.829,38.64
81.589,41.78
87.828,56.62
72.526,25.73
74.654,28.41
79.888,37.60
86.746,54.86
84.236,49.89
87.770,56.28
84.926,50.95
85.870,52.73
84.421,49.26
79.479,40.23
82.463,47.51
85.655,52.20
88.600,58.51
85.839,52.99
86.518,53.88
80.073,41.16
81.321,43.11
82.342,45.77
84.218,51.69
86.571,55.29
85.704,51.58
84.981,51.63
86.398,53.41
84.156,50.00
82.908,45.08
87.324,55.80
86.930,54.70
83.534,50.41
79.808,39.49
83.149,46.22
79.955,42.79
83.839,50.34
84.023,48.18
84.282,49.33
82.242,45.05
83.834,49.15
84.462,49.91
81.947,43.15
78.666,35.22
83.177,48.02
82.965,45.09
78.351,35.73
76.630,30.58
76.852,31.81
83.193,49.08
85.014,51.27
84.763,50.07
86.076,56.32
85.680,52.87
82.963,49.55
86.135,55.56
86.099,52.23
77.230,31.35
84.844,50.00
84.567,49.65
77.215,34.41
86.231,53.38
86.457,53.73
88.083,57.62
88.969,59.98
89.079,59.53
89.397,61.02
86.636,54.78
82.620,45.20
85.937,53.02
85.719,51.52
87.263,55.03
86.706,55.01
85.735,52.89
80.062,39.23
80.874,45.31
79.091,43.26
81.915,46.07
84.787,51.71
87.498,58.62
88.552,58.48
82.541,44.09
83.010,45.49
82.317,43.80
79.118,38.10
84.888,50.87
86.275,52.42
82.189,43.59
81.951,42.99
82.557,45.12
83.168,45.48
85.079,50.64
84.933,50.56
85.079,50.07
85.683,52.44
83.149,50.23
81.929,42.65
83.560,47.11
81.936,48.81
71.522,25.19
88.126,57.37
88.637,58.72
87.339,56.80
87.351,55.36
85.172,49.75
83.228,45.82
85.577,54.46
82.951,46.04
83.635,47.11
87.487,55.88
88.558,58.56
85.822,54.83
87.612,56.68
87.603,56.25
82.138,45.01
84.042,47.92
85.515,51.31
85.223,50.82
85.499,51.52
86.290,53.33
80.265,38.97
84.383,49.45
78.983,38.77
87.242,55.26
87.393,56.23
87.426,55.98
87.569,56.13
88.514,58.24
86.695,54.13
86.416,53.43
87.031,55.33
87.438,56.82
85.165,52.02
88.272,58.04
81.233,41.83
83.334,45.93
87.591,55.74
87.495,56.23
85.606,51.78
83.833,47.75
86.386,53.69
87.944,56.94
87.843,57.25
86.644,54.44
87.060,55.56
86.793,54.68
87.576,56.51
87.998,57.34
83.487,47.59
84.358,48.92
86.353,53.42
84.777,52.90
86.313,53.39
87.477,55.65
85.392,51.16
